idVenda;cpf;idProduto;quantidade;precoUnitario;precoTotal
3;073.001.981-04;2;30;50.32;1509.60
4;073.001.981-04;2;3;50.32;150.96
3;111.222.333-43;2;1;50.32;50.32
3;073.001.981-04;1;1;3.00;3.00
4;073.001.981-04;2;2;50.32;100.64
5;073.001.981-04;1;2;3.00;6.00
6;073.001.981-04;1;2;3.00;6.00
3;073.001.981-04;1;2;3.00;6.00
4;111.222.333-43;4;4;30.00;120.00
4;111.222.333-43;5;1;5.00;5.00
5;073.001.981-04;4;2;30.00;60.00
6;555.555.555-55;3;3;6.00;18.00
6;555.555.555-55;5;2;5.00;10.00
7;333.333.333-33;3;3;6.00;18.00
7;333.333.333-33;4;1;30.00;30.00
8;333.333.333-33;2;10;50.32;503.20
9;333.333.333-33;2;4;50.32;201.28
9;333.333.333-33;1;3;3.00;9.00
10;123.123.123-12;3;3;6.00;18.00
10;123.123.123-12;4;5;30.00;150.00
